assignment_id,project_id,employee_id,role_on_project,allocation_pct,assigned_date,end_date,is_lead
48,10,115,Marketing Specialist,50,1/26/2027,,FALSE
49,10,309,Project Manager,100,11/25/2026,,TRUE
50,10,413,Data Entry Clerk,25,1/20/2027,,FALSE
51,11,417,Sales Representative,100,6/7/2026,,FALSE
52,11,462,Junior Developer,50,6/3/2026,,FALSE
53,11,48,Project Manager,100,5/11/2026,,TRUE
54,11,144,Marketing Specialist,25,6/13/2026,,FALSE
55,11,243,Delivery Manager,75,5/4/2026,,TRUE
56,11,211,Junior Developer,50,6/28/2026,7/5/2026,FALSE
57,11,151,Marketing Specialist,50,6/11/2026,,FALSE
58,11,155,QA Specialist,25,6/18/2026,6/25/2026,FALSE
59,11,477,Sales Representative,75,6/10/2026,,FALSE
60,12,344,Project Manager,75,8/16/2026,,TRUE
61,12,243,Stakeholder Manager,50,10/5/2026,,FALSE
62,12,293,Junior Developer,75,9/30/2026,,FALSE
63,13,129,Developer,75,5/10/2023,10/10/2024,FALSE
64,13,449,Senior Developer,75,5/16/2023,9/29/2024,FALSE
65,13,355,Delivery Manager,50,6/19/2023,9/30/2024,FALSE
66,13,353,QA Specialist,25,6/18/2023,10/7/2024,FALSE
67,13,328,Developer,75,5/17/2023,10/1/2024,FALSE
68,13,232,Solution Architect,50,5/29/2023,10/4/2024,FALSE
69,13,362,Project Manager,75,4/16/2023,10/3/2024,TRUE
70,13,203,Sales Representative,25,6/3/2023,10/10/2024,FALSE
71,13,14,Senior Analyst,100,6/13/2023,10/3/2024,FALSE
72,13,344,Delivery Manager,75,4/12/2023,10/6/2024,TRUE
73,13,415,QA Tester,75,6/13/2023,9/29/2024,FALSE
74,14,81,Program Manager,100,10/16/2026,,TRUE
75,14,402,Project Manager,100,10/21/2026,,TRUE
76,14,116,Business Analyst,25,12/12/2026,,FALSE
77,15,153,Sales Representative,50,12/9/2024,3/2/2025,FALSE
78,15,378,Project Manager,50,10/27/2024,3/3/2025,TRUE
79,15,84,Business Analyst,25,11/21/2024,3/2/2025,FALSE
80,15,349,Stakeholder Manager,25,12/15/2024,2/26/2025,FALSE
81,16,421,Program Manager,75,1/15/2026,,TRUE
82,16,489,Stakeholder Manager,50,2/19/2026,,FALSE
83,16,41,Delivery Manager,50,2/28/2026,,FALSE
84,16,427,Data Entry Clerk,100,2/19/2026,,FALSE
85,16,81,Program Manager,50,1/2/2026,7/1/2026,TRUE
86,16,339,Project Manager,75,1/13/2026,,TRUE
87,16,118,Stakeholder Manager,50,2/5/2026,,FALSE
88,16,441,Stakeholder Manager,50,1/26/2026,,FALSE
89,16,318,Program Manager,25,2/5/2026,,FALSE
90,16,63,Sales Representative,50,2/28/2026,,FALSE
91,17,225,Project Manager,100,7/20/2025,6/8/2026,TRUE
92,17,258,Delivery Manager,100,7/16/2025,6/2/2026,TRUE
93,17,195,Data Entry Clerk,100,8/3/2025,6/2/2026,FALSE
94,17,383,QA Tester,50,8/21/2025,6/5/2026,FALSE
95,17,110,QA Specialist,75,7/30/2025,6/11/2026,FALSE
96,17,176,Junior Analyst,75,8/11/2025,6/10/2026,FALSE
97,17,188,QA Tester,25,8/2/2025,6/2/2026,FALSE
98,17,341,Data Entry Clerk,75,9/2/2025,6/3/2026,FALSE
99,17,249,Junior Developer,100,8/15/2025,5/30/2026,FALSE
100,17,380,Marketing Specialist,50,9/6/2025,6/2/2026,FALSE
101,17,479,Stakeholder Manager,25,9/1/2025,6/11/2026,FALSE
102,18,448,QA Specialist,75,12/15/2023,8/12/2024,FALSE
103,18,322,Project Manager,100,10/25/2023,8/6/2024,TRUE
104,18,34,Stakeholder Manager,50,12/6/2023,8/7/2024,FALSE
105,18,171,Solution Architect,75,11/30/2023,8/18/2024,FALSE
106,18,462,QA Tester,75,11/22/2023,8/7/2024,FALSE
107,18,14,Senior Developer,75,11/24/2023,8/4/2024,FALSE
108,18,211,Junior Analyst,75,11/26/2023,8/18/2024,FALSE
109,18,313,QA Lead,50,12/15/2023,8/11/2024,FALSE
110,18,443,Delivery Manager,100,1/24/2024,8/16/2024,FALSE
111,19,68,Business Partner,25,6/25/2023,5/25/2024,FALSE
112,19,165,Junior Analyst,25,7/14/2023,5/31/2024,FALSE
113,19,294,Subject Matter Expert,50,7/6/2023,6/3/2024,FALSE
114,19,44,Sales Representative,75,7/17/2023,6/1/2024,FALSE
115,19,472,Delivery Manager,25,7/20/2023,5/28/2024,FALSE
116,19,250,Business Partner,50,6/27/2023,5/21/2024,FALSE
117,19,158,Developer,25,7/31/2023,5/28/2024,FALSE
118,19,252,Technical Lead,75,7/21/2023,5/21/2024,FALSE
119,19,189,Marketing Specialist,50,6/25/2023,5/25/2024,FALSE
120,19,94,Project Manager,50,6/6/2023,6/2/2024,TRUE
121,19,447,Business Partner,75,6/29/2023,5/28/2024,FALSE
122,20,354,Delivery Manager,50,12/27/2026,,TRUE
123,20,21,Marketing Specialist,50,1/22/2027,,FALSE
124,20,174,Project Manager,75,12/30/2026,,TRUE
125,21,58,Developer,50,11/17/2025,,FALSE
126,21,453,Business Analyst,50,10/11/2025,,FALSE
127,21,435,Project Manager,75,9/7/2025,6/14/2026,TRUE
128,21,442,Marketing Specialist,75,10/9/2025,,FALSE
129,21,316,QA Specialist,50,10/14/2025,,FALSE
130,22,377,Project Manager,50,3/3/2027,,TRUE
131,22,105,Delivery Manager,50,3/20/2027,,TRUE
132,23,448,Developer,100,4/8/2024,,FALSE
133,23,2,Delivery Manager,75,4/16/2024,,FALSE
134,23,293,QA Tester,25,3/25/2024,,FALSE
135,23,234,Data Entry Clerk,50,4/2/2024,,FALSE
136,23,460,Sales Lead,25,3/17/2024,,FALSE
137,23,14,Project Manager,75,3/1/2024,,TRUE
138,23,80,Program Manager,25,4/7/2024,6/7/2026,FALSE
139,23,151,Business Analyst,75,4/11/2024,,FALSE
140,23,415,Junior Analyst,100,3/19/2024,,FALSE
141,24,48,Project Manager,75,3/28/2027,,TRUE
142,24,322,Solution Architect,50,5/4/2027,,FALSE
143,24,133,Program Manager,75,3/22/2027,,TRUE
144,25,197,Data Analyst,50,11/25/2025,,FALSE
145,25,431,Technical Lead,50,11/1/2025,,FALSE
146,25,50,Sales Representative,50,10/18/2025,,FALSE
147,25,27,Marketing Specialist,50,11/4/2025,,FALSE
148,25,92,Business Analyst,25,11/2/2025,7/7/2026,FALSE
149,25,29,Project Manager,75,10/8/2025,,TRUE
150,25,127,Business Analyst,100,11/16/2025,,FALSE
151,26,101,Stakeholder Manager,25,6/5/2026,,FALSE
152,26,398,Project Manager,100,4/15/2026,,TRUE
153,26,496,Developer,75,5/29/2026,6/5/2026,FALSE
154,26,369,Senior Developer,50,6/19/2026,,FALSE
155,26,52,Junior Developer,100,5/26/2026,,FALSE
156,27,32,Business Partner,50,11/9/2026,,FALSE
157,27,5,Data Analyst,75,10/30/2026,,FALSE
158,27,29,Project Manager,75,10/7/2026,,TRUE
159,27,334,Business Analyst,25,11/1/2026,,FALSE
160,28,384,Business Analyst,50,1/14/2024,8/13/2024,FALSE
161,28,394,Project Manager,75,12/18/2023,8/2/2024,TRUE
162,28,461,Sales Representative,50,1/30/2024,8/15/2024,FALSE
163,28,90,Data Analyst,50,2/4/2024,8/4/2024,FALSE
164,28,28,Marketing Specialist,50,2/9/2024,8/8/2024,FALSE
165,28,253,Junior Analyst,75,1/21/2024,8/5/2024,FALSE
166,28,351,QA Specialist,25,1/25/2024,8/5/2024,FALSE
167,29,48,Project Manager,50,9/10/2025,,TRUE
168,29,389,Sales Representative,25,10/3/2025,,FALSE
169,29,471,Data Scientist,50,10/31/2025,,FALSE
170,30,48,Stakeholder Manager,50,9/12/2026,,FALSE
171,30,151,Business Analyst,50,9/8/2026,,FALSE
172,30,263,Project Manager,75,7/16/2026,,TRUE
